experiment,block,method,retention,worst_pair,new_learning,below_chance,unused_presented
EXP-007,block_1019,ordinary,0.8620469311273617,0.16148379850472683,0.9777086143465842,0.125,0.2054794520547945
EXP-007,block_1019,homeostasis,0.8673448100746224,0.3589160229048648,0.9346182615099892,0.0625,0.1780821917808219
EXP-007,block_1020,ordinary,0.6616917282968706,0.020300502073298643,0.9400336711885041,0.3125,0.3287671232876712
EXP-007,block_1020,homeostasis,0.7472759155513148,0.06511484329328203,0.9791698508329307,0.25,0.3424657534246575
EXP-007,block_1021,ordinary,0.9377110266874635,0.21032396635683426,0.9982061608729713,0.0625,0.410958904109589
EXP-007,block_1021,homeostasis,0.9101472755588895,0.35081772966098046,0.9926240366424521,0.0625,0.3287671232876712
EXP-007,block_1022,ordinary,0.7214059392107899,0.0045649091410994835,0.9851780493835121,0.3125,0.5205479452054794
EXP-007,block_1022,homeostasis,0.7372897252645592,0.018239571590053422,0.9787856909461338,0.3125,0.4657534246575342
EXP-007,block_1023,ordinary,0.9042722463770039,0.38215483207683437,0.9963296629905437,0.0625,0.3150684931506849
EXP-007,block_1023,homeostasis,0.8787488488180581,0.269088633465381,0.9969182664137843,0.0625,0.2602739726027397
EXP-007,block_1024,ordinary,0.7991607433883405,0.0445786912412124,0.9950231802175755,0.1875,0.3972602739726027
EXP-007,block_1024,homeostasis,0.8327046712698047,0.03773346490313211,0.9926925710241208,0.125,0.3287671232876712
EXP-007,block_1025,ordinary,0.8543736015658859,0.02781103775608668,0.9932738909752136,0.125,0.4657534246575342
EXP-007,block_1025,homeostasis,0.8441172868026213,0.02216364755415403,0.99131955593887,0.125,0.4246575342465753
EXP-007,block_1026,ordinary,0.826262800474676,0.16115945892796896,0.9953802280249736,0.125,0.410958904109589
EXP-007,block_1026,homeostasis,0.7825691924689344,0.1048431469977942,0.9665594585179201,0.25,0.3698630136986301
EXP-007,block_1027,ordinary,0.8380576580954272,0.010514557421982386,0.9901431349849972,0.125,0.3698630136986301
EXP-007,block_1027,homeostasis,0.8383953497919103,0.01636297975727217,0.9897537963908395,0.0625,0.2876712328767123
EXP-007,block_1028,ordinary,0.7784440470258671,0.29788186808634415,0.9876223313022394,0.25,0.4657534246575342
EXP-007,block_1028,homeostasis,0.7778223081131527,0.23737154819278694,0.9867615960834546,0.125,0.3972602739726027
EXP-007,block_1029,ordinary,0.6914408903178616,0.02921954101829044,0.9907408991237929,0.1875,0.5068493150684932
EXP-007,block_1029,homeostasis,0.666300781998789,0.02609812812047794,0.9899360496260041,0.25,0.4383561643835616
EXP-007,block_1030,ordinary,0.7294692188988879,0.00819722473531315,0.993185457886663,0.25,0.3698630136986301
EXP-007,block_1030,homeostasis,0.7324903574931559,0.05838169518326649,0.9937692993005991,0.1875,0.3698630136986301
EXP-007,block_1031,ordinary,0.7661870179572305,0.13364487628289107,0.9938558324552826,0.25,0.3972602739726027
EXP-007,block_1031,homeostasis,0.7643860171933999,0.06839531469662219,0.9926541353937506,0.1875,0.3972602739726027
EXP-008,block_1000,ordinary,0.9415289752338222,0.6535334775863002,0.9881147701943547,0.0,0.43050847457627117
EXP-008,block_1000,homeostasis,0.9139989128150339,0.6169488540375456,0.9926674938276874,0.0,0.28983050847457625
EXP-008,block_1001,ordinary,0.9534224336233198,0.6488342102384719,0.9918332360689104,0.0,0.2576271186440678
EXP-008,block_1001,homeostasis,0.9512158787561216,0.6451619994301958,0.9879395328839062,0.0,0.13220338983050847
EXP-008,block_1002,ordinary,0.974571421537769,0.8252196014534412,0.9920544593951459,0.0,0.3101694915254237
EXP-008,block_1002,homeostasis,0.967436050371141,0.7578099736645005,0.9918041113002166,0.0,0.19661016949152543
EXP-008,block_1003,ordinary,0.9342594160491443,0.5954890942034622,0.9886533200398231,0.0,0.4271186440677966
EXP-008,block_1003,homeostasis,0.9493324770526432,0.6515959707392429,0.9946943890899854,0.0,0.2847457627118644
EXP-008,block_1004,ordinary,0.9521074182012237,0.7414047373520856,0.9859219210115772,0.0,0.43559322033898307
EXP-008,block_1004,homeostasis,0.9463108887866176,0.7854221433175561,0.9876485140032748,0.0,0.32033898305084746
EXP-008,block_1005,ordinary,0.9327972046246453,0.34119621278173806,0.9721397609312274,0.0625,0.2983050847457627
EXP-008,block_1005,homeostasis,0.9418225951725442,0.3465925060071624,0.9763443528885785,0.0625,0.17966101694915254
EXP-008,block_1006,ordinary,0.9384982097092835,0.7733876239510807,0.9873396910624366,0.0,0.2864406779661017
EXP-008,block_1006,homeostasis,0.9099491683053513,0.6243921008178518,0.983831458626974,0.0,0.16271186440677965
EXP-008,block_1007,ordinary,0.979074656084709,0.9407854880055921,0.9899527539939459,0.0,0.39322033898305087
EXP-008,block_1007,homeostasis,0.9514982819221838,0.7000990712544575,0.9926392177309638,0.0,0.2423728813559322
EXP-008,block_1008,ordinary,0.9467259072188827,0.7477160348963079,0.992597105188928,0.0,0.3305084745762712
EXP-008,block_1008,homeostasis,0.9533884775769217,0.8186992330670466,0.9949025857144296,0.0,0.2135593220338983
EXP-008,block_1009,ordinary,0.958472261766624,0.6255663119849113,0.9830960133018166,0.0,0.3610169491525424
EXP-008,block_1009,homeostasis,0.9441370865981225,0.39170842636635517,0.971185099714444,0.0625,0.20677966101694914
EXP-008,block_1010,ordinary,0.9608407900530078,0.778736599021518,0.9936213659406807,0.0,0.3593220338983051
EXP-008,block_1010,homeostasis,0.9457977610389876,0.6030375039764277,0.9933159714954634,0.0,0.2576271186440678
EXP-008,block_1011,ordinary,0.8897222376093261,0.29558140708483566,0.9881021391674321,0.0625,0.3864406779661017
EXP-008,block_1011,homeostasis,0.8853929350012695,0.11853045672987168,0.9909068964837918,0.0625,0.29491525423728815
