source,sha256,key,mean,lower,upper,scale,interval_status,n,unit
results/exp007_confirmation/geometry.json,fee025f4d2e1771e715cd74e66818f5a714170de30ab2ddb9bc01ea481d9e64d,2_total_8_False_random_homeostasis/old_pair_margin_abs_change,0.01503891957685433,0.014246526264044308,0.015831711676581584,original proportions unless geometry/count,95% descriptive,32,task block conditional on fixed anatomy
results/exp007_confirmation/geometry.json,fee025f4d2e1771e715cd74e66818f5a714170de30ab2ddb9bc01ea481d9e64d,2_total_8_False_random_homeostasis/clean_rank_gap,0.04493346447172121,0.04264204814604364,0.047245607769745575,original proportions unless geometry/count,95% descriptive,32,task block conditional on fixed anatomy
results/exp007_confirmation/geometry.json,fee025f4d2e1771e715cd74e66818f5a714170de30ab2ddb9bc01ea481d9e64d,2_total_8_False_random_homeostasis/noisy_rank_gap,0.03915713854389042,0.03768578543768184,0.040654550865622675,original proportions unless geometry/count,95% descriptive,32,task block conditional on fixed anatomy
results/exp007_confirmation/geometry.json,fee025f4d2e1771e715cd74e66818f5a714170de30ab2ddb9bc01ea481d9e64d,2_total_8_False_direct/unused_presented,0.0,0.0,0.0,original proportions unless geometry/count,95% descriptive,32,task block conditional on fixed anatomy
results/exp007_confirmation/geometry.json,fee025f4d2e1771e715cd74e66818f5a714170de30ab2ddb9bc01ea481d9e64d,2_total_8_False_direct/effective_presented,39.054486331452146,39.041548283647266,39.06744897528496,original proportions unless geometry/count,95% descriptive,32,task block conditional on fixed anatomy
results/exp007_confirmation/geometry.json,fee025f4d2e1771e715cd74e66818f5a714170de30ab2ddb9bc01ea481d9e64d,2_total_8_False_direct/unused_chosen,0.0,0.0,0.0,original proportions unless geometry/count,95% descriptive,32,task block conditional on fixed anatomy
results/exp007_confirmation/geometry.json,fee025f4d2e1771e715cd74e66818f5a714170de30ab2ddb9bc01ea481d9e64d,2_total_8_False_direct/effective_chosen,38.76643372550822,38.729331727782295,38.80399955639867,original proportions unless geometry/count,95% descriptive,32,task block conditional on fixed anatomy
results/exp007_confirmation/geometry.json,fee025f4d2e1771e715cd74e66818f5a714170de30ab2ddb9bc01ea481d9e64d,2_total_8_False_direct/noise_stability,0.9903254214966688,0.9902912161339771,0.9903577983827598,original proportions unless geometry/count,95% descriptive,32,task block conditional on fixed anatomy
results/exp007_confirmation/geometry.json,fee025f4d2e1771e715cd74e66818f5a714170de30ab2ddb9bc01ea481d9e64d,2_total_8_False_direct/cross_memory_cosine,0.36950334821428565,0.3672991071428571,0.37179129464285704,original proportions unless geometry/count,95% descriptive,32,task block conditional on fixed anatomy
results/exp007_confirmation/geometry.json,fee025f4d2e1771e715cd74e66818f5a714170de30ab2ddb9bc01ea481d9e64d,2_total_8_False_direct/collision_fraction,0.0,0.0,0.0,original proportions unless geometry/count,95% descriptive,32,task block conditional on fixed anatomy
results/exp007_confirmation/geometry.json,fee025f4d2e1771e715cd74e66818f5a714170de30ab2ddb9bc01ea481d9e64d,2_total_8_False_direct/clipped_coordinate_fraction,0.0019523620605468753,0.001694488525390625,0.002223968505859375,original proportions unless geometry/count,95% descriptive,32,task block conditional on fixed anatomy
results/exp007_confirmation/geometry.json,fee025f4d2e1771e715cd74e66818f5a714170de30ab2ddb9bc01ea481d9e64d,2_total_8_False_direct/update_norm,0.06228969103949403,0.060919473069074456,0.06363444985840666,original proportions unless geometry/count,95% descriptive,32,task block conditional on fixed anatomy
results/exp007_confirmation/geometry.json,fee025f4d2e1771e715cd74e66818f5a714170de30ab2ddb9bc01ea481d9e64d,2_total_8_False_direct/old_pair_margin_abs_change,0.024578721554361915,0.02330246845227873,0.025861088465285294,original proportions unless geometry/count,95% descriptive,32,task block conditional on fixed anatomy
results/exp007_confirmation/geometry.json,fee025f4d2e1771e715cd74e66818f5a714170de30ab2ddb9bc01ea481d9e64d,2_total_8_False_oracle/unused_presented,0.5,0.5,0.5,original proportions unless geometry/count,95% descriptive,32,task block conditional on fixed anatomy
results/exp007_confirmation/geometry.json,fee025f4d2e1771e715cd74e66818f5a714170de30ab2ddb9bc01ea481d9e64d,2_total_8_False_oracle/effective_presented,16.0,16.0,16.0,original proportions unless geometry/count,95% descriptive,32,task block conditional on fixed anatomy
results/exp007_confirmation/geometry.json,fee025f4d2e1771e715cd74e66818f5a714170de30ab2ddb9bc01ea481d9e64d,2_total_8_False_oracle/unused_chosen,0.50390625,0.5009765625,0.5078125,original proportions unless geometry/count,95% descriptive,32,task block conditional on fixed anatomy
results/exp007_confirmation/geometry.json,fee025f4d2e1771e715cd74e66818f5a714170de30ab2ddb9bc01ea481d9e64d,2_total_8_False_oracle/effective_chosen,9.050781245927967,8.974260048630134,9.129647024300656,original proportions unless geometry/count,95% descriptive,32,task block conditional on fixed anatomy
results/exp007_confirmation/geometry.json,fee025f4d2e1771e715cd74e66818f5a714170de30ab2ddb9bc01ea481d9e64d,2_total_8_False_oracle/noise_stability,1.0,1.0,1.0,original proportions unless geometry/count,95% descriptive,32,task block conditional on fixed anatomy
results/exp007_confirmation/geometry.json,fee025f4d2e1771e715cd74e66818f5a714170de30ab2ddb9bc01ea481d9e64d,2_total_8_False_oracle/cross_memory_cosine,0.0,0.0,0.0,original proportions unless geometry/count,95% descriptive,32,task block conditional on fixed anatomy
results/exp007_confirmation/geometry.json,fee025f4d2e1771e715cd74e66818f5a714170de30ab2ddb9bc01ea481d9e64d,2_total_8_False_oracle/collision_fraction,0.0,0.0,0.0,original proportions unless geometry/count,95% descriptive,32,task block conditional on fixed anatomy
results/exp007_confirmation/geometry.json,fee025f4d2e1771e715cd74e66818f5a714170de30ab2ddb9bc01ea481d9e64d,2_total_8_False_oracle/clipped_coordinate_fraction,0.0007381439208984375,0.0006132125854492188,0.0008668899536132812,original proportions unless geometry/count,95% descriptive,32,task block conditional on fixed anatomy
results/exp007_confirmation/geometry.json,fee025f4d2e1771e715cd74e66818f5a714170de30ab2ddb9bc01ea481d9e64d,2_total_8_False_oracle/update_norm,0.01008480938183961,0.009953236290517883,0.010216224750059715,original proportions unless geometry/count,95% descriptive,32,task block conditional on fixed anatomy
results/exp007_confirmation/geometry.json,fee025f4d2e1771e715cd74e66818f5a714170de30ab2ddb9bc01ea481d9e64d,2_total_8_False_oracle/old_pair_margin_abs_change,0.0,0.0,0.0,original proportions unless geometry/count,95% descriptive,32,task block conditional on fixed anatomy
results/exp007_confirmation/geometry.json,fee025f4d2e1771e715cd74e66818f5a714170de30ab2ddb9bc01ea481d9e64d,2_total_8_False_fixed_homeostasis/unused_presented,0.36900684931506844,0.3441780821917808,0.3946917808219178,original proportions unless geometry/count,95% descriptive,32,task block conditional on fixed anatomy
results/exp007_confirmation/geometry.json,fee025f4d2e1771e715cd74e66818f5a714170de30ab2ddb9bc01ea481d9e64d,2_total_8_False_fixed_homeostasis/effective_presented,22.73077973289707,20.66117022648112,24.805851185495325,original proportions unless geometry/count,95% descriptive,32,task block conditional on fixed anatomy
results/exp007_confirmation/geometry.json,fee025f4d2e1771e715cd74e66818f5a714170de30ab2ddb9bc01ea481d9e64d,2_total_8_False_fixed_homeostasis/unused_chosen,0.4169520547945205,0.3946917808219178,0.43921232876712324,original proportions unless geometry/count,95% descriptive,32,task block conditional on fixed anatomy
results/exp007_confirmation/geometry.json,fee025f4d2e1771e715cd74e66818f5a714170de30ab2ddb9bc01ea481d9e64d,2_total_8_False_fixed_homeostasis/effective_chosen,19.328553738826066,17.793743383519423,20.933382171035422,original proportions unless geometry/count,95% descriptive,32,task block conditional on fixed anatomy
results/exp007_confirmation/geometry.json,fee025f4d2e1771e715cd74e66818f5a714170de30ab2ddb9bc01ea481d9e64d,2_total_8_False_fixed_homeostasis/noise_stability,0.928192138671875,0.922459920247396,0.933868408203125,original proportions unless geometry/count,95% descriptive,32,task block conditional on fixed anatomy
results/exp007_confirmation/geometry.json,fee025f4d2e1771e715cd74e66818f5a714170de30ab2ddb9bc01ea481d9e64d,2_total_8_False_fixed_homeostasis/cross_memory_cosine,0.26143973214285715,0.2304210844494048,0.2943638392857143,original proportions unless geometry/count,95% descriptive,32,task block conditional on fixed anatomy
results/exp007_confirmation/geometry.json,fee025f4d2e1771e715cd74e66818f5a714170de30ab2ddb9bc01ea481d9e64d,2_total_8_False_fixed_homeostasis/collision_fraction,0.00027901785714285713,0.0,0.0008370535714285714,original proportions unless geometry/count,95% descriptive,32,task block conditional on fixed anatomy
results/exp007_confirmation/geometry.json,fee025f4d2e1771e715cd74e66818f5a714170de30ab2ddb9bc01ea481d9e64d,2_total_8_False_fixed_homeostasis/clipped_coordinate_fraction,0.00023327135059931505,0.00017934302761130134,0.00029096211472602737,original proportions unless geometry/count,95% descriptive,32,task block conditional on fixed anatomy
results/exp007_confirmation/geometry.json,fee025f4d2e1771e715cd74e66818f5a714170de30ab2ddb9bc01ea481d9e64d,2_total_8_False_fixed_homeostasis/update_norm,0.03737757006101027,0.036617507596395434,0.038124188557833505,original proportions unless geometry/count,95% descriptive,32,task block conditional on fixed anatomy
results/exp007_confirmation/geometry.json,fee025f4d2e1771e715cd74e66818f5a714170de30ab2ddb9bc01ea481d9e64d,2_total_8_False_fixed_homeostasis/old_pair_margin_abs_change,0.026350826118353828,0.024651701347103722,0.028085281503285667,original proportions unless geometry/count,95% descriptive,32,task block conditional on fixed anatomy
results/exp007_confirmation/geometry.json,fee025f4d2e1771e715cd74e66818f5a714170de30ab2ddb9bc01ea481d9e64d,2_total_8_False_fixed_homeostasis/clean_rank_gap,0.05299014718495651,0.0474661857713844,0.05897026497208525,original proportions unless geometry/count,95% descriptive,32,task block conditional on fixed anatomy
results/exp007_confirmation/geometry.json,fee025f4d2e1771e715cd74e66818f5a714170de30ab2ddb9bc01ea481d9e64d,2_total_8_False_fixed_homeostasis/noisy_rank_gap,0.04644727266755034,0.04256238232107551,0.050668601885942854,original proportions unless geometry/count,95% descriptive,32,task block conditional on fixed anatomy
results/exp007_confirmation/geometry.json,fee025f4d2e1771e715cd74e66818f5a714170de30ab2ddb9bc01ea481d9e64d,2_total_8_False_fixed_sham/unused_presented,0.4243721461187214,0.4042522831050228,0.4457762557077625,original proportions unless geometry/count,95% descriptive,32,task block conditional on fixed anatomy
results/exp007_confirmation/geometry.json,fee025f4d2e1771e715cd74e66818f5a714170de30ab2ddb9bc01ea481d9e64d,2_total_8_False_fixed_sham/effective_presented,21.307650452810968,19.40193499183482,23.21343511249903,original proportions unless geometry/count,95% descriptive,32,task block conditional on fixed anatomy
results/exp007_confirmation/geometry.json,fee025f4d2e1771e715cd74e66818f5a714170de30ab2ddb9bc01ea481d9e64d,2_total_8_False_fixed_sham/unused_chosen,0.4658961187214612,0.4466324200913242,0.4863013698630137,original proportions unless geometry/count,95% descriptive,32,task block conditional on fixed anatomy
results/exp007_confirmation/geometry.json,fee025f4d2e1771e715cd74e66818f5a714170de30ab2ddb9bc01ea481d9e64d,2_total_8_False_fixed_sham/effective_chosen,18.241882601023462,16.806081572226198,19.74875183353994,original proportions unless geometry/count,95% descriptive,32,task block conditional on fixed anatomy
results/exp007_confirmation/geometry.json,fee025f4d2e1771e715cd74e66818f5a714170de30ab2ddb9bc01ea481d9e64d,2_total_8_False_fixed_sham/noise_stability,0.9413519965277779,0.9368726942274306,0.9458347320556643,original proportions unless geometry/count,95% descriptive,32,task block conditional on fixed anatomy
results/exp007_confirmation/geometry.json,fee025f4d2e1771e715cd74e66818f5a714170de30ab2ddb9bc01ea481d9e64d,2_total_8_False_fixed_sham/cross_memory_cosine,0.2777932787698413,0.2459077380952381,0.31205085875496036,original proportions unless geometry/count,95% descriptive,32,task block conditional on fixed anatomy
results/exp007_confirmation/geometry.json,fee025f4d2e1771e715cd74e66818f5a714170de30ab2ddb9bc01ea481d9e64d,2_total_8_False_fixed_sham/collision_fraction,0.00027901785714285713,0.0,0.0008370535714285714,original proportions unless geometry/count,95% descriptive,32,task block conditional on fixed anatomy
