overlap,regime,load,shift,method,pair,subsequent_presentations,retention,lower95,upper95,forgetting,lower95_forgetting,upper95_forgetting
5,per_pair,4,False,direct,2,128,0.997095493524338,0.9946026957970746,0.9988931950362968,0.0012558563457048116,-7.311034852929914e-05,0.0032177937930829566
5,per_pair,4,False,direct,3,0,0.9937150710044499,0.9867072846855046,0.9988905480114664,0.0,0.0,0.0
5,per_pair,4,False,oracle,0,384,0.9987098591052123,0.9978102152483324,0.9994220775519312,0.0,0.0,0.0
5,per_pair,4,False,oracle,1,256,0.9951257504624541,0.9920904887553087,0.997693168775515,0.0,0.0,0.0
5,per_pair,4,False,oracle,2,128,0.9979613149114864,0.9966434477801153,0.9989848209372392,0.0,0.0,0.0
5,per_pair,4,False,oracle,3,0,0.9935879276927828,0.9859716867589294,0.9986703308621515,0.0,0.0,0.0
5,per_pair,4,False,fixed_homeostasis,0,384,0.9959451963536868,0.9943102184571517,0.9974687123691393,0.0021711505632870712,0.0007601527647120396,0.003644525993134935
5,per_pair,4,False,fixed_homeostasis,1,256,0.9888577537382143,0.9840546166865286,0.9930276980476285,0.003751138584512014,0.0013425046894455384,0.006399985231618969
5,per_pair,4,False,fixed_homeostasis,2,128,0.9922207803527847,0.9863381025404874,0.9964064877933773,0.000832700673203309,-0.00171835572621263,0.0037591044509541947
5,per_pair,4,False,fixed_homeostasis,3,0,0.989713510483762,0.9815392363904843,0.9953222065309292,0.0,0.0,0.0
5,per_pair,4,False,fixed_sham,0,384,0.9962832894331282,0.9947793662429746,0.997668128055793,0.001907059639116554,0.0005788930481519452,0.0032769722440550153
5,per_pair,4,False,fixed_sham,1,256,0.9801239382105272,0.9607045574505112,0.9922519768613695,0.009617612278250207,0.002522635594079418,0.019879442346280966
5,per_pair,4,False,fixed_sham,2,128,0.9923561466830652,0.9872610217391924,0.9961582212809532,0.000644742676835138,-0.0013678156109035219,0.002805218116584287
5,per_pair,4,False,fixed_sham,3,0,0.9879886414832649,0.9781713766114845,0.9949030119555969,0.0,0.0,0.0
5,per_pair,4,False,matched_sham,0,384,0.9953569256322036,0.9917766594489539,0.9980513956754715,0.0023180769293349355,0.0005051477285489812,0.004653180977669203
5,per_pair,4,False,matched_sham,1,256,0.9796649833255735,0.9606641551199048,0.9929193129198116,0.00961123456016893,0.0009649213466074154,0.020226005532902862
5,per_pair,4,False,matched_sham,2,128,0.9948968626317424,0.9915166831339354,0.9976028724382531,0.00021420701775842765,-0.001995258207672497,0.0021121778349602674
