overlap,regime,load,family,metric,mean,lower95,upper95
2,per_pair,16,direct,noise_reversal,0.8573996679863668,0.8306405020310621,0.8824435289843083
2,per_pair,16,random4,retention,0.695992839397842,0.6718905219850957,0.7198347466193031
2,per_pair,16,random4,worst_pair,0.053189261110485095,0.03445669386132495,0.0740785047685451
2,per_pair,16,random4,new_learning,0.9883501414372577,0.9845957083835772,0.9914729486962807
2,per_pair,16,random4,forgetting,0.2923573020394158,0.26827485194682305,0.3169351772076315
2,per_pair,16,random4,noise_retention,0.6707407560670458,0.6502957797640072,0.6910948582866376
2,per_pair,16,random4,reversal,0.7611603237985142,0.7365624119292092,0.7866280780678633
2,per_pair,16,random4,unchanged_after_reversal,0.5741269882348027,0.5406579153585644,0.6081220988741183
2,per_pair,16,random4,noise_reversal,0.7359562687815002,0.7123295948062299,0.7606778973454862
2,per_pair,16,random6,retention,0.7694325396001356,0.7440652273405163,0.794053029582968
2,per_pair,16,random6,worst_pair,0.10838407590952985,0.07360481246610781,0.14652474747954422
2,per_pair,16,random6,new_learning,0.9903835569324504,0.9882804482053867,0.9923074163926519
2,per_pair,16,random6,forgetting,0.22095101733231487,0.19646087546935875,0.2459905498571271
2,per_pair,16,random6,noise_retention,0.731887022008861,0.7099018957219709,0.7535231351706048
2,per_pair,16,random6,reversal,0.7913218701544802,0.7626338978423283,0.8204133222773231
2,per_pair,16,random6,unchanged_after_reversal,0.6357054788496733,0.5987841349527219,0.6722905154473304
2,per_pair,16,random6,noise_reversal,0.7612150982700201,0.7346728242147382,0.7883611027367786
2,per_pair,16,oracle,retention,0.9964297713938827,0.9949493418724691,0.9974019831160397
2,per_pair,16,oracle,worst_pair,0.9685013723678264,0.9469719225355288,0.9818997255062129
2,per_pair,16,oracle,new_learning,0.9964297713938827,0.9949493418724691,0.9974019831160397
2,per_pair,16,oracle,forgetting,0.0,0.0,0.0
2,per_pair,16,oracle,noise_retention,0.9964297713938827,0.9949493418724691,0.9974019831160397
2,per_pair,16,oracle,reversal,0.9965560424791171,0.9941926589579916,0.9980611787905024
2,per_pair,16,oracle,unchanged_after_reversal,0.9963714085335118,0.9953630716975546,0.9972699180889728
