overlap,regime,load,shift,method,metric,mean,lower95,upper95
2,per_pair,8,False,baseline6,forgetting,0.11266597779713283,0.08283622178088448,0.1435192972211745
2,per_pair,8,False,baseline6,noise_retention,0.8568954646368858,0.8277078185962632,0.8851089795595589
2,per_pair,8,False,baseline6,reversal,0.9004273929040392,0.854551299988718,0.9410423226873468
2,per_pair,8,False,baseline6,unchanged,0.7613128665970433,0.7037522022306593,0.8172818988858745
2,per_pair,8,False,baseline6,below_chance,0.09375,0.0625,0.12890625
2,per_pair,8,False,ordinary,retention,0.8818614160730828,0.850369916860561,0.9125115182818254
2,per_pair,8,False,ordinary,worst_pair,0.4563212012082556,0.34561184340117324,0.5706807252492134
2,per_pair,8,False,ordinary,new_learning,0.9945273938702156,0.9916064691068028,0.9969406148880149
2,per_pair,8,False,ordinary,forgetting,0.11266597779713283,0.08283622178088448,0.1435192972211745
2,per_pair,8,False,ordinary,noise_retention,0.8568954646368858,0.8277078185962632,0.8851089795595589
2,per_pair,8,False,ordinary,reversal,0.9004273929040392,0.854551299988718,0.9410423226873468
2,per_pair,8,False,ordinary,unchanged,0.7613128665970433,0.7037522022306593,0.8172818988858745
2,per_pair,8,False,ordinary,below_chance,0.09375,0.0625,0.12890625
2,per_pair,8,False,homeostasis,retention,0.8862283126090342,0.8534003201963265,0.917241792279571
2,per_pair,8,False,homeostasis,worst_pair,0.4810837765894343,0.3587071102722755,0.6058019015198913
2,per_pair,8,False,homeostasis,new_learning,0.9917144085118454,0.9857654178591376,0.9963837636879525
2,per_pair,8,False,homeostasis,forgetting,0.10548609590281124,0.07406123115211823,0.13887887177366753
2,per_pair,8,False,homeostasis,noise_retention,0.8622223572455296,0.8326221897219162,0.8905579180213519
2,per_pair,8,False,homeostasis,reversal,0.9217980306288422,0.8860429794009944,0.9542533482043817
2,per_pair,8,False,homeostasis,unchanged,0.7674726357352848,0.7040327044013172,0.8279433215355695
2,per_pair,8,False,homeostasis,below_chance,0.08984375,0.0546875,0.12890625
2,per_pair,8,False,sham,retention,0.8938972096889292,0.8638992891797126,0.9225355006805662
2,per_pair,8,False,sham,worst_pair,0.47532199959060756,0.3571416514273008,0.5963948450621485
2,per_pair,8,False,sham,new_learning,0.9944005942019876,0.9908351659659104,0.9970576238855211
2,per_pair,8,False,sham,forgetting,0.10050338451305829,0.07232393058401439,0.13030812028086167
2,per_pair,8,False,sham,noise_retention,0.8688992593899496,0.8423206921145728,0.894530685808976
2,per_pair,8,False,sham,reversal,0.9016946913415045,0.8621137238704029,0.9382983308850171
2,per_pair,8,False,sham,unchanged,0.7531091291185403,0.6927420622448508,0.8123443392478604
2,per_pair,8,False,sham,below_chance,0.08723958333333333,0.057291666666666664,0.11848958333333334
2,per_pair,8,False,random_ordinary,retention,0.8596563004316315,0.8386163552354942,0.8794623088423635
2,per_pair,8,False,random_ordinary,worst_pair,0.37125713553181805,0.29730897047874866,0.44534972095865194
2,per_pair,8,False,random_ordinary,new_learning,0.9920347134165182,0.9892280734584421,0.9942176204143597
2,per_pair,8,False,random_ordinary,forgetting,0.13237841298488667,0.11329817238353751,0.15294350782701005
2,per_pair,8,False,random_ordinary,noise_retention,0.8254791545196777,0.8060530490293082,0.8441160892296018
2,per_pair,8,False,random_ordinary,reversal,0.8958523961327998,0.8613459912042851,0.9265836438564085
2,per_pair,8,False,random_ordinary,unchanged,0.7283445594606559,0.6895734466986153,0.7667861273151255
2,per_pair,8,False,random_ordinary,below_chance,0.11979166666666666,0.09635416666666666,0.14453125
2,per_pair,8,False,random_homeostasis,retention,0.8636783512274777,0.8401108512434191,0.8860718086998134
2,per_pair,8,False,random_homeostasis,worst_pair,0.39995698075601516,0.3189949145806775,0.4808627838373261
2,per_pair,8,False,random_homeostasis,new_learning,0.9916141075521079,0.9890607325929882,0.9937493401186498
2,per_pair,8,False,random_homeostasis,forgetting,0.12793575632463017,0.10627180738258678,0.15090116384218907
2,per_pair,8,False,random_homeostasis,noise_retention,0.8285699472318218,0.8081720196498152,0.8480967726893702
2,per_pair,8,False,random_homeostasis,reversal,0.8994714356098199,0.8680217422210482,0.9274935606459372
2,per_pair,8,False,random_homeostasis,unchanged,0.7360281984219181,0.6927688233424657,0.7781156030229106
2,per_pair,8,False,random_homeostasis,below_chance,0.10546875,0.07942708333333334,0.13151041666666669
2,per_pair,8,False,direct,retention,0.9484560137133629,0.9285438365407527,0.9663173706188818
2,per_pair,8,False,direct,worst_pair,0.6815950835119757,0.5646689353481147,0.7891407541634993
2,per_pair,8,False,direct,new_learning,0.993248979742693,0.9868310281130859,0.9982579351320031
2,per_pair,8,False,direct,forgetting,0.04479296602933006,0.028319281973225526,0.06360281193681999
2,per_pair,8,False,direct,noise_retention,0.9276772780974148,0.9087769593403662,0.9451161440120504
2,per_pair,8,False,direct,reversal,0.9345656106326525,0.9002560849767363,0.9649674023077648
2,per_pair,8,False,direct,unchanged,0.8544769608486451,0.8011395130718441,0.9027856442363251
2,per_pair,8,False,direct,below_chance,0.04296875,0.01953125,0.06640625
2,per_pair,8,False,oracle,retention,0.9980257556910472,0.9977061314561347,0.9983274933098879
2,per_pair,8,False,oracle,worst_pair,0.9930658692288047,0.9913049960506267,0.9946456576487439
2,per_pair,8,False,oracle,new_learning,0.9980257556910472,0.9977061314561347,0.9983274933098879
2,per_pair,8,False,oracle,forgetting,0.0,0.0,0.0
2,per_pair,8,False,oracle,noise_retention,0.9980257556910472,0.9977061314561347,0.9983274933098879
2,per_pair,8,False,oracle,reversal,0.9976776127261303,0.9966344368870019,0.9984971079990392
2,per_pair,8,False,oracle,unchanged,0.9980693299026522,0.997611892229224,0.9984819502317007
2,per_pair,8,False,oracle,below_chance,0.0,0.0,0.0
2,per_pair,8,False,fixed_homeostasis,retention,0.8862283126090342,0.8534003201963265,0.917241792279571
2,per_pair,8,False,fixed_homeostasis,worst_pair,0.4810837765894343,0.3587071102722755,0.6058019015198913
2,per_pair,8,False,fixed_homeostasis,new_learning,0.9917144085118454,0.9857654178591376,0.9963837636879525
2,per_pair,8,False,fixed_homeostasis,forgetting,0.10548609590281124,0.07406123115211823,0.13887887177366753
2,per_pair,8,False,fixed_homeostasis,noise_retention,0.8622223572455296,0.8326221897219162,0.8905579180213519
2,per_pair,8,False,fixed_homeostasis,reversal,0.9217980306288422,0.8860429794009944,0.9542533482043817
2,per_pair,8,False,fixed_homeostasis,unchanged,0.7674726357352848,0.7040327044013172,0.8279433215355695
2,per_pair,8,False,fixed_homeostasis,below_chance,0.08984375,0.0546875,0.12890625
2,per_pair,8,False,fixed_sham,retention,0.8938972096889292,0.8638992891797126,0.9225355006805662
